,Product Name,Sub-Category,Frequency
40,GBC VeloBind Cover Sets,Binders,0.000609508329947176
56,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders,0.000609508329947176
70,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Binders,0.000609508329947176
81,Ibico Standard Transparent Covers,Binders,0.000609508329947176
67,GBC Twin Loop Wire Binding Elements,Binders,0.0004063388866314506
90,Wilson Jones Easy Flow II Sheet Lifters,Binders,0.0004063388866314506
3,4009 Highlighters by Sanford,Art,0.000609508329947176
83,Newell 347,Art,0.000609508329947176
41,Newell Chalk Holder,Art,0.0004063388866314506
50,"Crayola Anti Dust Chalk, 12/Pack",Art,0.0004063388866314506
79,SANFORD Major Accent Highlighters,Art,0.0004063388866314506
89,Newell 350,Art,0.0004063388866314506
13,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Appliances,0.0008126777732629012
58,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Appliances,0.0008126777732629012
46,Belkin 5 Outlet SurgeMaster Power Centers,Appliances,0.000609508329947176
75,Harmony Air Purifier,Appliances,0.0004063388866314506
18,Logitech G19 Programmable Gaming Keyboard,Accessories,0.001219016659894352
6,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,Accessories,0.0010158472165786266
9,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Accessories,0.0008126777732629012
27,Microsoft Sculpt Comfort Mouse,Accessories,0.0008126777732629012
17,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,0.000609508329947176
61,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Accessories,0.000609508329947176
54,Logitech diNovo Edge Keyboard,Accessories,0.0004063388866314506
68,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",Accessories,0.0004063388866314506
76,Lenovo 17-Key USB Numeric Keypad,Accessories,0.0004063388866314506
82,Logitech G600 MMO Gaming Mouse,Accessories,0.0004063388866314506
