,antecedents,consequents,conviction
13,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Bestar Classic Bookcase,inf
11,Wilson Jones International Size A4 Ring Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.9745762711864403
25,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Stiletto Hand Letter Openers,2.9745762711864403
10,Storex DuraTech Recycled Plastic Frosted Binders,Wilson Jones International Size A4 Ring Binders,inf
9,Deluxe Heavy-Duty Vinyl Round Ring Binder,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",inf
8,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Cisco IP Phone 7961G-GE VoIP phone,2.9745762711864403
22,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Global Leather Executive Chair,2.9745762711864403
7,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Deluxe Heavy-Duty Vinyl Round Ring Binder,2.9745762711864403
6,Cisco IP Phone 7961G-GE VoIP phone,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,inf
5,Self-Adhesive Removable Labels,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",inf
4,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Self-Adhesive Removable Labels,inf
3,Avery 495,Advantus Plastic Paper Clips,inf
2,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""","Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",inf
35,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Newell 348,inf
1,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",inf
29,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",Newell 348,inf
24,Xerox 1960,GBC DocuBind TL200 Manual Binding Machine,inf
26,GBC DocuBind TL200 Manual Binding Machine,Xerox 1960,2.9745762711864403
274,GBC DocuBind TL200 Manual Binding Machine,Staples,2.7838983050847452
55,"Avery Durable Slant Ring Binders, No Labels",GBC Personal VeloBind Strips,inf
43,Holmes HEPA Air Purifier,Acme Tagit Stainless Steel Antibacterial Scissors,1.9830508474576272
54,GBC Personal VeloBind Strips,"Avery Durable Slant Ring Binders, No Labels",1.9830508474576272
53,Iceberg Mobile Mega Data/Printer Cart,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,1.9830508474576272
106,Iceberg Mobile Mega Data/Printer Cart,Safco Commercial Shelving,1.9745762711864407
235,Iceberg Mobile Mega Data/Printer Cart,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",1.9406779661016949
52,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Iceberg Mobile Mega Data/Printer Cart,inf
51,GBC Twin Loop Wire Binding Elements,Acco 6 Outlet Guardian Premium Surge Suppressor,1.9830508474576272
50,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Prang Colored Pencils,1.9830508474576272
49,Prang Colored Pencils,"Fellowes Strictly Business Drawer File, Letter/Legal Size",inf
48,Acme Tagit Stainless Steel Antibacterial Scissors,Holmes HEPA Air Purifier,inf
47,Avery 518,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,1.9830508474576272
45,Cisco SPA508G,Global Commerce Series High-Back Swivel/Tilt Chairs,inf
44,Global Commerce Series High-Back Swivel/Tilt Chairs,Cisco SPA508G,1.9830508474576272
42,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Avery 518,inf
27,Xerox 1981,Newell 312,2.9745762711864403
41,Xerox 1995,Tennsco Commercial Shelving,inf
40,Tennsco Commercial Shelving,Xerox 1995,1.9830508474576272
38,Xerox 194,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,inf
37,"Bush Westfield Collection Bookcases, Fully Assembled",C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,inf
36,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,"Bush Westfield Collection Bookcases, Fully Assembled",1.9830508474576272
39,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Xerox 194,1.9830508474576272
33,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),inf
32,"Eldon Regeneration Recycled Desk Accessories, Black",Jensen SMPS-640 - speaker phone,2.9745762711864403
31,Jensen SMPS-640 - speaker phone,"Eldon Regeneration Recycled Desk Accessories, Black",inf
30,Newell 348,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",2.9745762711864403
34,Newell 348,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",2.9745762711864403
160,Newell 348,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",2.9364406779661016
271,Newell 348,Staples,2.7838983050847452
28,Newell 312,Xerox 1981,inf
111,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Acrylic Self-Standing Desk Frames,1.9745762711864407
177,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Xerox 1962,1.9661016949152543
112,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Howard Miller Distant Time Traveler Alarm Clock,1.9745762711864407
113,"Wirebound Message Book, 4 per Page","OIC #2 Pencils, Medium Soft",2.949152542372881
200,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Samsung Galaxy Note 2,1.6384180790960454
219,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Easy-staple paper,inf
308,Easy-staple paper,Staple envelope,1.2876059322033897
218,Easy-staple paper,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",1.2118644067796611
247,Easy-staple paper,Wireless Extenders zBoost YX545 SOHO Signal Booster,1.2066854990583806
258,Easy-staple paper,Storex Dura Pro Binders,1.2015065913371
259,Easy-staple paper,Bretford Rectangular Conference Table Tops,1.2015065913371
285,Easy-staple paper,Staple-based wall hangings,1.1963276836158194
304,Easy-staple paper,"Global High-Back Leather Tilter, Burgundy",1.1807909604519775
215,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Wilson Jones Leather-Like Binders with DublLock Round Rings,2.911016949152542
272,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Staples,2.7838983050847452
214,Wilson Jones Leather-Like Binders with DublLock Round Rings,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,1.3822033898305084
217,Wilson Jones Leather-Like Binders with DublLock Round Rings,Staple remover,1.3822033898305084
213,Xerox 1919,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",2.911016949152542
211,Samsung Galaxy Note 2,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,1.957627118644068
208,Xerox 1916,Wilson Jones Turn Tabs Binder Tool for Ring Binders,1.6384180790960454
244,Xerox 1916,"Global Wood Trimmed Manager's Task Chair, Khaki",1.6242937853107344
303,Xerox 1916,Staples,1.5466101694915255
205,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Xerox 1916,1.957627118644068
220,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Recycled Pressboard Report Cover with Reinforced Top Hinge,1.9491525423728813
202,Pressboard Hanging Data Binders for Unburst Sheets,"Hot File 7-Pocket, Floor Stand",1.957627118644068
206,Pressboard Hanging Data Binders for Unburst Sheets,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",1.957627118644068
201,Belkin 6 Outlet Metallic Surge Strip,Fellowes Basic Home/Office Series Surge Protectors,1.957627118644068
199,Fellowes Basic Home/Office Series Surge Protectors,Belkin 6 Outlet Metallic Surge Strip,1.6384180790960454
297,Fellowes Basic Home/Office Series Surge Protectors,Staple envelope,1.560734463276836
224,3M Hangers With Command Adhesive,Xerox 1997,1.63135593220339
198,Memorex Micro Travel Drive 32 GB,"Hot File 7-Pocket, Floor Stand",1.957627118644068
195,AT&T 1080 Corded phone,Recycled Pressboard Report Cover with Reinforced Top Hinge,2.923728813559322
194,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",KI Conference Tables,2.923728813559322
192,Carina Double Wide Media Storage Towers in Natural & Black,Aluminum Screw Posts,2.923728813559322
191,Aluminum Screw Posts,Carina Double Wide Media Storage Towers in Natural & Black,1.4809322033898304
190,Ibico EB-19 Dual Function Manual Binding System,GBC VeloBind Cover Sets,2.923728813559322
189,GBC VeloBind Cover Sets,Ibico EB-19 Dual Function Manual Binding System,1.4809322033898304
187,Enermax Briskie RF Wireless Keyboard and Mouse Combo,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.923728813559322
186,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Enermax Briskie RF Wireless Keyboard and Mouse Combo,1.4809322033898304
185,KI Conference Tables,Honeywell Quietcare HEPA Air Cleaner,1.4809322033898304
193,KI Conference Tables,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",1.4809322033898304
222,"Performers Binder/Pad Holder, Black",Recycled Pressboard Report Cover with Reinforced Top Hinge,1.9491525423728813
225,Xerox 1909,Staple-based wall hangings,1.63135593220339
183,Xerox 1940,Acco 3-Hole Punch,1.9661016949152543
260,Storex Dura Pro Binders,Easy-staple paper,1.9067796610169492
293,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,Staples,1.8559322033898304
292,Hon GuestStacker Chair,Staples,1.8559322033898304
287,SAFCO Boltless Steel Shelving,Staple envelope,1.8728813559322033
286,Acco Perma 4000 Stacking Storage Drawers,Staple envelope,1.8728813559322033
281,Riverleaf Stik-Withit Designer Note Cubes,Staples,2.7838983050847452
277,Xerox 1930,Staples,2.7838983050847452
275,Euro-Pro Shark Turbo Vacuum,Staples,2.7838983050847452
268,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table","Global High-Back Leather Tilter, Burgundy",1.4491525423728813
265,Fellowes Stor/Drawer Steel Plus Storage Drawers,Staple envelope,2.8093220338983045
261,Bretford Rectangular Conference Table Tops,Easy-staple paper,1.9067796610169492
256,"Global High-Back Leather Tilter, Burgundy",Wilson Electronics DB Pro Signal Booster,1.305084745762712
269,"Global High-Back Leather Tilter, Burgundy","Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",1.2994350282485876
305,"Global High-Back Leather Tilter, Burgundy",Easy-staple paper,1.271186440677966
228,Xerox 1881,Xerox 188,1.63135593220339
252,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,Staples,inf
250,Xerox 1939,Staples,inf
249,Staples,"SAFCO Commercial Wire Shelving, 72h",1.1237288135593222
251,Staples,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,1.1237288135593222
253,Staples,Xerox 1939,1.1237288135593222
270,Staples,Newell 348,1.1189265536723165
273,Staples,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,1.1189265536723165
276,Staples,Euro-Pro Shark Turbo Vacuum,1.1189265536723165
278,Staples,Xerox 1930,1.1189265536723165
279,Staples,Riverleaf Stik-Withit Designer Note Cubes,1.1189265536723165
280,Staples,GBC DocuBind TL200 Manual Binding Machine,1.1189265536723165
282,Staples,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",1.1189265536723165
290,Staples,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,1.1141242937853109
291,Staples,Hon GuestStacker Chair,1.1141242937853109
294,Staples,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1.1141242937853109
299,Staples,Memorex Micro Travel Drive 8 GB,1.1093220338983052
300,Staples,Xerox 1916,1.1093220338983052
302,Staples,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",1.1093220338983052
246,Wireless Extenders zBoost YX545 SOHO Signal Booster,Easy-staple paper,2.8601694915254234
243,"Global Wood Trimmed Manager's Task Chair, Khaki",Xerox 1916,1.4682203389830508
254,"Global Wood Trimmed Manager's Task Chair, Khaki","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",1.461864406779661
309,Staple envelope,Easy-staple paper,1.1917372881355932
241,Staple envelope,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",1.1440677966101696
245,Staple envelope,Xerox 1895,1.1440677966101696
262,Staple envelope,"Eldon Base for stackable storage shelf, platinum",1.1391786179921772
264,Staple envelope,Fellowes Stor/Drawer Steel Plus Storage Drawers,1.1391786179921772
267,Staple envelope,Xerox 1911,1.1391786179921772
288,Staple envelope,Acco Perma 4000 Stacking Storage Drawers,1.1342894393741851
289,Staple envelope,SAFCO Boltless Steel Shelving,1.1342894393741851
296,Staple envelope,Fellowes Basic Home/Office Series Surge Protectors,1.129400260756193
306,Staple envelope,Recycled Pressboard Report Cover with Reinforced Top Hinge,1.1245110821382007
239,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Staple envelope,inf
238,Xerox 1895,Staple envelope,inf
236,"Quartet Omega Colored Chalk, 12/Pack","Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",1.9406779661016949
230,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wilson Electronics DB Pro Signal Booster,1.63135593220339
184,Honeywell Quietcare HEPA Air Cleaner,KI Conference Tables,2.923728813559322
180,Chromcraft Rectangular Conference Tables,Logitech G602 Wireless Gaming Mouse,1.9661016949152543
114,"Situations Contoured Folding Chairs, 4/Set",Premier Automatic Letter Opener,1.9745762711864407
131,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",1.4872881355932202
255,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue","Global Wood Trimmed Manager's Task Chair, Khaki",1.461864406779661
143,OtterBox Commuter Series Case - iPhone 5 & 5s,Wilson Electronics DB Pro Signal Booster,2.9364406779661016
142,"Hot File 7-Pocket, Floor Stand",Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),1.6454802259887007
197,"Hot File 7-Pocket, Floor Stand",Memorex Micro Travel Drive 32 GB,1.6384180790960454
207,"Hot File 7-Pocket, Floor Stand",Pressboard Hanging Data Binders for Unburst Sheets,1.6384180790960454
226,"Hot File 7-Pocket, Floor Stand","GBC Standard Recycled Report Covers, Clear Plastic Sheets",1.63135593220339
141,Avery Arch Ring Binders,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",inf
140,3M Polarizing Light Filter Sleeves,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",inf
138,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Avery Arch Ring Binders,1.388135593220339
139,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",3M Polarizing Light Filter Sleeves,1.388135593220339
212,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Xerox 1919,1.3822033898305084
234,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Iceberg Mobile Mega Data/Printer Cart,1.376271186440678
237,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue","Quartet Omega Colored Chalk, 12/Pack",1.376271186440678
137,"OIC #2 Pencils, Medium Soft","Wirebound Message Book, 4 per Page",1.9745762711864407
136,O'Sullivan Living Dimensions 2-Shelf Bookcases,Pyle PMP37LED,2.949152542372881
134,Acrylic Self-Standing Desk Frames,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,2.949152542372881
133,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Global Deluxe Steno Chair,2.949152542372881
132,Dana Swing-Arm Lamps,Xerox 227,2.949152542372881
128,Global Deluxe Steno Chair,Brother DCP1000 Digital 3 in 1 Multifunction Machine,1.9745762711864407
145,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),"Hot File 7-Pocket, Floor Stand",2.9364406779661016
127,Xerox 227,Dana Swing-Arm Lamps,1.9745762711864407
126,"Boston School Pro Electric Pencil Sharpener, 1670",Staple magnet,2.949152542372881
161,"Boston School Pro Electric Pencil Sharpener, 1670",SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,2.9364406779661016
125,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",inf
124,Global Ergonomic Managers Chair,Eldon Portable Mobile Manager,1.9745762711864407
123,Xerox 1972,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",2.949152542372881
122,Eldon Portable Mobile Manager,Global Ergonomic Managers Chair,2.949152542372881
119,Xerox 220,Staple magnet,2.949152542372881
117,Plantronics S12 Corded Telephone Headset System,Recycled Pressboard Report Cover with Reinforced Top Hinge,inf
116,Recycled Pressboard Report Cover with Reinforced Top Hinge,Plantronics S12 Corded Telephone Headset System,1.4872881355932202
188,Recycled Pressboard Report Cover with Reinforced Top Hinge,AT&T 1080 Corded phone,1.4809322033898304
221,Recycled Pressboard Report Cover with Reinforced Top Hinge,"Performers Binder/Pad Holder, Black",1.4745762711864405
223,Recycled Pressboard Report Cover with Reinforced Top Hinge,Wilson Jones Turn Tabs Binder Tool for Ring Binders,1.4745762711864405
242,Recycled Pressboard Report Cover with Reinforced Top Hinge,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",1.4682203389830508
307,Recycled Pressboard Report Cover with Reinforced Top Hinge,Staple envelope,1.4046610169491522
115,Premier Automatic Letter Opener,"Situations Contoured Folding Chairs, 4/Set",2.949152542372881
144,Xerox 188,Plantronics MX500i Earset,1.6454802259887007
150,Xerox 188,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,1.6454802259887007
233,Xerox 188,Xerox 1881,1.63135593220339
146,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",Xerox 1997,2.9364406779661016
178,Xerox 1962,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,1.9661016949152543
164,"Elite 5"" Scissors","Lesro Round Back Collection Coffee Table, End Table",1.9661016949152543
176,Samsung Rugby III,Standard Rollaway File with Lock,1.9661016949152543
175,Standard Rollaway File with Lock,Samsung Rugby III,1.9661016949152543
174,Acco 3-Hole Punch,Xerox 1940,1.9661016949152543
