,antecedents,consequents,conviction
259,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,1.4889975550122247
630,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Fellowes High-Stak Drawer Files,1.4816625916870414
1029,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Staples,1.4303178484107577
141,Newell 345,Laminate Occasional Tables,1.4926650366748164
449,Newell 345,Avery Printable Repositionable Plastic Tabs,1.485330073349633
464,Newell 345,Logitech Wireless Gaming Headset G930,1.485330073349633
733,Newell 345,Acme Forged Steel Scissors with Black Enamel Handles,1.4779951100244497
834,Newell 345,Premium Transparent Presentation Covers by GBC,1.4706601466992664
835,Newell 345,Sterilite Officeware Hinged File Box,1.4706601466992664
142,Belkin F9S820V06 8 Outlet Surge,Alphabetical Labels for Top Tab Filing,2.970660146699266
144,Avery 476,Canon PC940 Copier,1.4926650366748164
148,Avery 476,OtterBox Defender Series Case - Samsung Galaxy S4,1.4926650366748164
636,Avery 476,Jabra Supreme Plus Driver Edition Headset,1.4816625916870414
901,Avery 476,DAX Wood Document Frame,1.463325183374083
145,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",Portable Personal File Box,2.970660146699266
146,Xerox 1906,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",2.970660146699266
147,Avery 518,Crate-A-Files,2.970660146699266
149,Apple iPhone 5S,Prang Colored Pencils,2.970660146699266
150,Avery 48,GBC VeloBinder Manual Binding System,2.970660146699266
153,Avery 48,Xerox 220,2.970660146699266
548,Avery 48,Avery Arch Ring Binders,2.9339853300733494
151,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Logitech Wireless Gaming Headset G930,2.970660146699266
152,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,2.970660146699266
154,Staple-based wall hangings,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",1.393154034229829
354,Staple-based wall hangings,Fellowes Staxonsteel Drawer Files,1.3897310513447434
359,Staple-based wall hangings,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,1.3897310513447434
366,Staple-based wall hangings,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",1.3897310513447434
367,Staple-based wall hangings,"Adams Telephone Message Books, 5 1/4” x 11”",1.3897310513447434
672,Staple-based wall hangings,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",1.3828850855745722
674,Staple-based wall hangings,Wilson Jones Active Use Binders,1.3828850855745722
1049,Staple-based wall hangings,Staples,1.3349633251833741
155,Avery 474,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",1.393154034229829
550,Avery 474,Hon GuestStacker Chair,1.3863080684596578
551,Avery 474,Round Ring Binders,1.3863080684596578
681,Avery 474,Office Star - Ergonomically Designed Knee Chair,1.3828850855745722
792,Avery 474,Adjustable Depth Letter/Legal Cart,1.3794621026894869
156,Carina Double Wide Media Storage Towers in Natural & Black,"6"" Cubicle Wall Clock, Black",1.393154034229829
355,Carina Double Wide Media Storage Towers in Natural & Black,"Global Geo Office Task Chair, Gray",1.3897310513447434
368,Carina Double Wide Media Storage Towers in Natural & Black,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",1.3897310513447434
374,Carina Double Wide Media Storage Towers in Natural & Black,"Executive Impressions 14"" Contract Wall Clock",1.3897310513447434
554,Carina Double Wide Media Storage Towers in Natural & Black,Global Comet Stacking Arm Chair,1.3863080684596578
556,Carina Double Wide Media Storage Towers in Natural & Black,Ibico Plastic and Wire Spiral Binding Combs,1.3863080684596578
795,Carina Double Wide Media Storage Towers in Natural & Black,GBC Wire Binding Combs,1.3794621026894869
842,Carina Double Wide Media Storage Towers in Natural & Black,GBC DocuBind TL300 Electric Binding System,1.376039119804401
934,Carina Double Wide Media Storage Towers in Natural & Black,Avery Non-Stick Binders,1.362347188264059
974,Carina Double Wide Media Storage Towers in Natural & Black,Staples in misc. colors,1.3555012224938878
158,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Staple-based wall hangings,inf
173,"Global Armless Task Chair, Royal Blue","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",1.6544417277913608
159,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Avery 474,inf
160,Xerox 1913,AT&T 17929 Lendline Telephone,inf
454,Xerox 1913,"Global Value Mid-Back Manager's Chair, Gray",2.9413202933985327
161,AT&T 17929 Lendline Telephone,Xerox 1913,1.7371638141809291
676,AT&T 17929 Lendline Telephone,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",1.3828850855745722
883,AT&T 17929 Lendline Telephone,"Global Value Mid-Back Manager's Chair, Gray",1.3726161369193157
935,AT&T 17929 Lendline Telephone,Avery Non-Stick Binders,1.362347188264059
162,Ibico EB-19 Dual Function Manual Binding System,AT&T SB67148 SynJ,1.6544417277913608
287,Ibico EB-19 Dual Function Manual Binding System,Fellowes Basic Home/Office Series Surge Protectors,1.650366748166259
588,Ibico EB-19 Dual Function Manual Binding System,HON 5400 Series Task Chairs for Big and Tall,1.6422167889160553
605,Ibico EB-19 Dual Function Manual Binding System,Tennsco Industrial Shelving,1.6422167889160553
163,Eldon Fold 'N Roll Cart System,Peel & Seel Envelopes,1.6544417277913608
1062,Eldon Fold 'N Roll Cart System,Staple envelope,1.5566422167889158
164,Ibico Standard Transparent Covers,Xerox 1999,1.6544417277913608
334,Ibico Standard Transparent Covers,Safco Industrial Shelving,1.650366748166259
494,Ibico Standard Transparent Covers,Logitech K350 2.4Ghz Wireless Keyboard,1.646291768541157
513,Ibico Standard Transparent Covers,Avoid Verbal Orders Carbonless Minifold Book,1.646291768541157
165,Cardinal Holdit Business Card Pockets,Insertable Tab Indexes For Data Binders,1.6544417277913608
517,Cardinal Holdit Business Card Pockets,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1.646291768541157
166,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Hoover Portapower Portable Vacuum,1.6544417277913608
608,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Heavy-Duty E-Z-D Binders,1.6422167889160553
167,Digium D40 VoIP phone,"Dual Level, Single-Width Filing Carts",1.6544417277913608
981,Digium D40 VoIP phone,Staples,1.5892420537897307
168,Polycom VVX 310 VoIP phone,"Acco Banker's Clasps, 5 3/4""-Long",1.6544417277913608
169,"Avery Durable Plastic 1"" Binders",Peel & Seel Envelopes,1.6544417277913608
328,"Avery Durable Plastic 1"" Binders",Imation Clip USB flash drive - 8 GB,1.650366748166259
596,"Avery Durable Plastic 1"" Binders",Maxell 4.7GB DVD-R,1.6422167889160553
170,GBC DocuBind P50 Personal Binding Machine,Cisco SPA525G2 IP Phone - Wireless,1.6544417277913608
507,GBC DocuBind P50 Personal Binding Machine,Advantus Plastic Paper Clips,1.646291768541157
534,GBC DocuBind P50 Personal Binding Machine,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",1.646291768541157
697,GBC DocuBind P50 Personal Binding Machine,Kingston Digital DataTraveler 16GB USB 2.0,1.6381418092909532
171,"Personal Folder Holder, Ebony",Xerox 1887,1.6544417277913608
692,"Personal Folder Holder, Ebony","Situations Contoured Folding Chairs, 4/Set",1.6381418092909532
172,"SAFCO Commercial Wire Shelving, Black",Plantronics Audio 995 Wireless Stereo Headset,1.6544417277913608
589,"SAFCO Commercial Wire Shelving, Black",Wilson Jones Easy Flow II Sheet Lifters,1.6422167889160553
980,"SAFCO Commercial Wire Shelving, Black",Staples,1.5892420537897307
211,"BIC Brite Liner Highlighters, Chisel Tip",Deluxe Heavy-Duty Vinyl Round Ring Binder,1.980440097799511
414,"BIC Brite Liner Highlighters, Chisel Tip",Xerox 217,1.9706601466992666
658,"BIC Brite Liner Highlighters, Chisel Tip","Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",1.960880195599022
931,"BIC Brite Liner Highlighters, Chisel Tip",Staples,1.9070904645476772
212,Deluxe Heavy-Duty Vinyl Round Ring Binder,"BIC Brite Liner Highlighters, Chisel Tip",1.980440097799511
213,Newell 351,"Advantus Push Pins, Aluminum Head",1.980440097799511
279,Xerox 1988,Belkin F8E887 USB Wired Ergonomic Keyboard,1.9755501222493888
570,Xerox 1988,Clear Mylar Reinforcing Strips,1.9657701711491442
262,Pressboard Data Binders by Wilson Jones,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,1.4889975550122247
618,Pressboard Data Binders by Wilson Jones,DXL Angle-View Binders with Locking Rings by Samsill,1.4816625916870414
1031,Pressboard Data Binders by Wilson Jones,Staples,1.4303178484107577
1038,Pressboard Data Binders by Wilson Jones,Easy-staple paper,1.4229828850855746
263,Avery Recycled Flexi-View Covers for Binding Systems,Lumber Crayons,2.9559902200488994
264,Cisco SPA 502G IP Phone,Heavy-Duty E-Z-D Binders,2.9559902200488994
266,Lumber Crayons,Avery Recycled Flexi-View Covers for Binding Systems,1.4889975550122247
268,Case Logic 2.4GHz Wireless Keyboard,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",1.4889975550122247
1042,Case Logic 2.4GHz Wireless Keyboard,Easy-staple paper,1.4229828850855746
269,Cisco SPA508G,Xerox 1881,2.9559902200488994
270,"Global High-Back Leather Tilter, Burgundy","Xerox Color Copier Paper, 11"" x 17"", Ream",1.650366748166259
512,"Global High-Back Leather Tilter, Burgundy",Hon Comfortask Task/Swivel Chairs,1.646291768541157
689,"Global High-Back Leather Tilter, Burgundy","XtraLife ClearVue Slant-D Ring Binder, White, 3""",1.6381418092909532
271,Vtech CS6719,Geemarc AmpliPOWER60,1.9755501222493888
318,Vtech CS6719,SANFORD Major Accent Highlighters,1.9755501222493888
272,DXL Angle-View Binders with Locking Rings by Samsill,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",1.650366748166259
581,DXL Angle-View Binders with Locking Rings by Samsill,Adjustable Depth Letter/Legal Cart,1.6422167889160553
604,DXL Angle-View Binders with Locking Rings by Samsill,Pressboard Data Binders by Wilson Jones,1.6422167889160553
274,"Xerox Color Copier Paper, 11"" x 17"", Ream","Global High-Back Leather Tilter, Burgundy",1.9755501222493888
325,"Xerox Color Copier Paper, 11"" x 17"", Ream",Hon Comfortask Task/Swivel Chairs,1.9755501222493888
275,GE 30524EE4,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",1.650366748166259
347,GE 30524EE4,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",1.650366748166259
276,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",GE 30524EE4,1.9755501222493888
277,Belkin F8E887 USB Wired Ergonomic Keyboard,Xerox 1988,1.650366748166259
278,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",DXL Angle-View Binders with Locking Rings by Samsill,1.9755501222493888
441,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",Adjustable Depth Letter/Legal Cart,1.9706601466992666
280,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,"Bevis Round Bullnose 29"" High Table Top",1.9755501222493888
258,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,2.9559902200488994
281,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Hon Mobius Operator's Chair,1.650366748166259
688,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",1.6381418092909532
282,Dax Clear Box Frame,Cardinal EasyOpen D-Ring Binders,1.9755501222493888
349,Dax Clear Box Frame,Hon Multipurpose Stacking Arm Chairs,1.9755501222493888
283,Cardinal EasyOpen D-Ring Binders,Dax Clear Box Frame,1.650366748166259
538,Cardinal EasyOpen D-Ring Binders,"Trav-L-File Heavy-Duty Shuttle II, Black",1.646291768541157
285,DAX Wood Document Frame,Canvas Sectional Post Binders,1.2438875305623471
338,DAX Wood Document Frame,First Data FD10 PIN Pad,1.2438875305623471
343,DAX Wood Document Frame,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1.2438875305623471
585,DAX Wood Document Frame,Acme Stainless Steel Office Snips,1.2408312958435208
766,DAX Wood Document Frame,Fellowes PB200 Plastic Comb Binding Machine,1.2377750611246943
775,DAX Wood Document Frame,Bevis Rectangular Conference Tables,1.2377750611246943
853,DAX Wood Document Frame,"File Shuttle II and Handi-File, Black",1.234718826405868
897,DAX Wood Document Frame,Avery 476,1.2316625916870416
972,DAX Wood Document Frame,KI Adjustable-Height Table,1.2224938875305622
286,Fellowes Basic Home/Office Series Surge Protectors,Ibico EB-19 Dual Function Manual Binding System,1.9755501222493888
290,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,"Fellowes Twister Kit, Gray/Clear, 3/pkg",1.9755501222493888
291,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,1.650366748166259
292,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",Geemarc AmpliPOWER60,1.9755501222493888
294,GBC Recycled VeloBinder Covers,Rogers Profile Extra Capacity Storage Tub,1.650366748166259
528,GBC Recycled VeloBinder Covers,Wilson Jones Active Use Binders,1.646291768541157
536,GBC Recycled VeloBinder Covers,Recycled Easel Ring Binders,1.646291768541157
586,GBC Recycled VeloBinder Covers,Heavy-Duty E-Z-D Binders,1.6422167889160553
758,GBC Recycled VeloBinder Covers,Tennsco Double-Tier Lockers,1.6340668296658514
760,GBC Recycled VeloBinder Covers,Newell 35,1.6340668296658514
295,Rogers Profile Extra Capacity Storage Tub,GBC Recycled VeloBinder Covers,1.9755501222493888
296,"Bevis Round Bullnose 29"" High Table Top",Panasonic KP-4ABK Battery-Operated Pencil Sharpener,1.650366748166259
297,DIXON Ticonderoga Erasable Checking Pencils,Global Deluxe Office Fabric Chairs,1.650366748166259
346,DIXON Ticonderoga Erasable Checking Pencils,Eldon Simplefile Box Office,1.650366748166259
298,Hon Mobius Operator's Chair,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",1.9755501222493888
299,Ibico Hi-Tech Manual Binding System,Avery Round Ring Poly Binders,1.2438875305623471
578,Ibico Hi-Tech Manual Binding System,"Executive Impressions 14""",1.2408312958435208
606,Ibico Hi-Tech Manual Binding System,Ideal Clamps,1.2408312958435208
753,Ibico Hi-Tech Manual Binding System,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),1.2377750611246943
782,Ibico Hi-Tech Manual Binding System,Kensington 4 Outlet MasterPiece Compact Power Control Center,1.2377750611246943
785,Ibico Hi-Tech Manual Binding System,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",1.2377750611246943
895,Ibico Hi-Tech Manual Binding System,"Logitech B530 USB Headset - headset - Full size, Binaural",1.2316625916870416
952,Ibico Hi-Tech Manual Binding System,"Fellowes Personal Hanging Folder Files, Navy",1.2255501222493888
1045,Ibico Hi-Tech Manual Binding System,Storex Dura Pro Binders,1.2102689486552567
261,Acme Stainless Steel Office Snips,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,2.9559902200488994
612,Acme Stainless Steel Office Snips,DAX Wood Document Frame,2.926650366748166
257,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set","OIC Binder Clips, Mini, 1/4"" Capacity, Black",1.4889975550122247
942,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Staples in misc. colors,1.452322738386308
214,"Advantus Push Pins, Aluminum Head",Newell 351,1.980440097799511
430,"Advantus Push Pins, Aluminum Head","Avery Durable Slant Ring Binders, No Labels",1.9706601466992666
235,"DXL Angle-View Binders with Locking Rings, Black","Sauder Camden County Collection Libraries, Planked Cherry Finish",2.9559902200488994
215,Bevis 44 x 96 Conference Tables,Project Tote Personal File,1.980440097799511
1009,Bevis 44 x 96 Conference Tables,Staple envelope,1.8679706601466992
217,Airmail Envelopes,Avery Durable Poly Binders,1.980440097799511
787,Airmail Envelopes,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1.9511002444987775
218,Panasonic KX-TG9471B,Xerox 216,1.980440097799511
229,Panasonic KX-TG9471B,Xerox 1903,1.980440097799511
308,Panasonic KX-TG9471B,"Seth Thomas 14"" Day/Date Wall Clock",1.9755501222493888
317,Panasonic KX-TG9471B,Newell 32,1.9755501222493888
220,Storex DuraTech Recycled Plastic Frosted Binders,3.6 Cubic Foot Counter Height Office Refrigerator,1.980440097799511
225,Storex DuraTech Recycled Plastic Frosted Binders,"Sanford Colorific Colored Pencils, 12/Box",1.980440097799511
221,Economy #2 Pencils,Regeneration Desk Collection,1.980440097799511
222,Regeneration Desk Collection,Economy #2 Pencils,1.980440097799511
223,Xerox 216,Panasonic KX-TG9471B,1.980440097799511
226,3.6 Cubic Foot Counter Height Office Refrigerator,Storex DuraTech Recycled Plastic Frosted Binders,1.980440097799511
227,Acme Titanium Bonded Scissors,"DAX Cubicle Frames, 8-1/2 x 11",1.980440097799511
228,Xerox 1903,Panasonic KX-TG9471B,1.980440097799511
329,Xerox 1903,"Seth Thomas 14"" Day/Date Wall Clock",1.9755501222493888
230,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),Tennsco Industrial Shelving,2.9559902200488994
232,Eldon Wave Desk Accessories,Southworth Parchment Paper & Envelopes,1.2794271742927
823,Eldon Wave Desk Accessories,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",1.2699965071603214
827,Eldon Wave Desk Accessories,"Belkin 19"" Vented Equipment Shelf, Black",1.2699965071603214
905,Eldon Wave Desk Accessories,High-Back Leather Manager's Chair,1.2637093957387355
923,Eldon Wave Desk Accessories,Avery File Folder Labels,1.2605658400279427
995,Eldon Wave Desk Accessories,Avery Non-Stick Binders,1.2511351728955642
1089,Eldon Wave Desk Accessories,Staple envelope,1.200838281522878
233,Heavy-Duty E-Z-D Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",1.4889975550122247
251,Heavy-Duty E-Z-D Binders,Xerox 222,1.4889975550122247
265,Heavy-Duty E-Z-D Binders,Cisco SPA 502G IP Phone,1.4889975550122247
633,Heavy-Duty E-Z-D Binders,GBC Recycled VeloBinder Covers,1.4816625916870414
641,Heavy-Duty E-Z-D Binders,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",1.4816625916870414
234,Xerox 222,Heavy-Duty E-Z-D Binders,2.9559902200488994
1007,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Staple envelope,1.8679706601466992
236,"Sauder Camden County Collection Libraries, Planked Cherry Finish","DXL Angle-View Binders with Locking Rings, Black",1.4889975550122247
477,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Bush Somerset Collection Bookcase,1.485330073349633
256,"OIC Binder Clips, Mini, 1/4"" Capacity, Black","Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",2.9559902200488994
237,Tennsco Industrial Shelving,Logitech VX Revolution Cordless Laser Mouse for Notebooks (Black),1.4889975550122247
631,Tennsco Industrial Shelving,Ibico EB-19 Dual Function Manual Binding System,1.4816625916870414
804,Tennsco Industrial Shelving,"Southworth 100% Résumé Paper, 24lb.",1.474327628361858
241,"Global Value Steno Chair, Gray",Xerox 1999,1.4889975550122247
480,"Global Value Steno Chair, Gray",Avery 492,1.485330073349633
622,"Global Value Steno Chair, Gray","Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",1.4816625916870414
1075,"Global Value Steno Chair, Gray",Staple envelope,1.4009779951100243
242,Xerox 191,"Global Fabric Manager's Chair, Dark Gray",1.4889975550122247
450,Xerox 191,PureGear Roll-On Screen Protector,1.485330073349633
644,Xerox 191,Home/Office Personal File Carts,1.4816625916870414
243,Xerox 213,Global Low Back Tilter Chair,2.9559902200488994
245,"Global Fabric Manager's Chair, Dark Gray",Xerox 191,2.9559902200488994
246,Global Low Back Tilter Chair,Xerox 213,1.4889975550122247
481,Global Low Back Tilter Chair,Polycom SoundStation2 EX Conference phone,1.485330073349633
629,Global Low Back Tilter Chair,"Wilson Jones 1"" Hanging DublLock Ring Binders",1.4816625916870414
247,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Xerox 196,2.9559902200488994
248,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",Heavy-Duty E-Z-D Binders,2.9559902200488994
249,KI Adjustable-Height Table,First Data FD10 PIN Pad,1.2794271742927
546,KI Adjustable-Height Table,Globe Weis Peel & Seel First Class Envelopes,1.276283618581907
723,KI Adjustable-Height Table,Xerox 1971,1.273140062871114
725,KI Adjustable-Height Table,Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,1.273140062871114
822,KI Adjustable-Height Table,"File Shuttle II and Handi-File, Black",1.2699965071603214
872,KI Adjustable-Height Table,Tennsco 6- and 18-Compartment Lockers,1.2668529514495286
973,KI Adjustable-Height Table,DAX Wood Document Frame,1.254278728606357
1088,KI Adjustable-Height Table,Staple envelope,1.200838281522878
250,Xerox 196,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",1.4889975550122247
645,Xerox 196,Logitech G105 Gaming Keyboard,1.4816625916870414
252,Xerox 1881,Cisco SPA508G,1.4889975550122247
253,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Pressboard Data Binders by Wilson Jones,2.9559902200488994
