,Order ID,Order Date,Segment,State,City,Product Name,Category,Sub-Category,Sales
34,CA-2018-107727,19/10/2018,Home Office,Texas,Houston,Easy-staple paper,Office Supplies,Paper,29.472
35,CA-2017-117590,08/12/2017,Corporate,Texas,Richardson,GE 30524EE4,Technology,Phones,1097.544
36,CA-2017-117590,08/12/2017,Corporate,Texas,Richardson,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,190.92
37,CA-2016-117415,27/12/2016,Home Office,Texas,Houston,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,113.328
38,CA-2016-117415,27/12/2016,Home Office,Texas,Houston,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,532.3992
39,CA-2016-117415,27/12/2016,Home Office,Texas,Houston,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,212.058
40,CA-2016-117415,27/12/2016,Home Office,Texas,Houston,Plantronics HL10 Handset Lifter,Technology,Phones,371.168
41,CA-2018-120999,10/09/2018,Corporate,Illinois,Naperville,Panasonic Kx-TS550,Technology,Phones,147.168
42,CA-2017-101343,17/07/2017,Corporate,California,Los Angeles,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,77.88
43,CA-2018-139619,19/09/2018,Corporate,Florida,Melbourne,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,95.616
44,CA-2017-118255,11/03/2017,Corporate,Minnesota,Eagan,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,45.98
45,CA-2017-118255,11/03/2017,Corporate,Minnesota,Eagan,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,17.46
46,CA-2015-146703,20/10/2015,Consumer,Michigan,Westland,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,211.96
47,CA-2017-169194,20/06/2017,Consumer,Delaware,Dover,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,45.0
48,CA-2017-169194,20/06/2017,Consumer,Delaware,Dover,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,21.8
49,CA-2016-115742,18/04/2016,Consumer,Indiana,New Albany,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,38.22
50,CA-2016-115742,18/04/2016,Consumer,Indiana,New Albany,Avery 485,Office Supplies,Labels,75.18
51,CA-2016-115742,18/04/2016,Consumer,Indiana,New Albany,Longer-Life Soft White Bulbs,Furniture,Furnishings,6.16
52,CA-2016-115742,18/04/2016,Consumer,Indiana,New Albany,"Global Leather Task Chair, Black",Furniture,Chairs,89.99
53,CA-2017-105816,11/12/2017,Corporate,New York,New York City,Advantus Push Pins,Office Supplies,Fasteners,15.26
54,CA-2017-105816,11/12/2017,Corporate,New York,New York City,AT&T CL83451 4-Handset Telephone,Technology,Phones,1029.95
55,CA-2017-111682,17/06/2017,Consumer,New York,Troy,Home/Office Personal File Carts,Office Supplies,Storage,208.56
56,CA-2017-111682,17/06/2017,Consumer,New York,Troy,Xerox 232,Office Supplies,Paper,32.4
57,CA-2017-111682,17/06/2017,Consumer,New York,Troy,Novimex Turbo Task Chair,Furniture,Chairs,319.41
58,CA-2017-111682,17/06/2017,Consumer,New York,Troy,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,14.56
59,CA-2017-111682,17/06/2017,Consumer,New York,Troy,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,30.0
60,CA-2017-111682,17/06/2017,Consumer,New York,Troy,Plastic Binding Combs,Office Supplies,Binders,48.48
61,CA-2017-111682,17/06/2017,Consumer,New York,Troy,Prang Dustless Chalk Sticks,Office Supplies,Art,1.68
62,CA-2016-135545,24/11/2016,Consumer,California,Los Angeles,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,13.98
63,CA-2016-135545,24/11/2016,Consumer,California,Los Angeles,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,25.824
64,CA-2016-135545,24/11/2016,Consumer,California,Los Angeles,Xerox 1943,Office Supplies,Paper,146.73
65,CA-2016-135545,24/11/2016,Consumer,California,Los Angeles,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,79.76
66,US-2016-164175,30/04/2016,Home Office,Illinois,Chicago,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,213.115
67,CA-2015-106376,05/12/2015,Corporate,Arizona,Gilbert,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,1113.024
68,CA-2015-106376,05/12/2015,Corporate,Arizona,Gilbert,netTALK DUO VoIP Telephone Service,Technology,Phones,167.968
69,CA-2017-119823,04/06/2017,Consumer,Virginia,Springfield,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,75.88
70,CA-2017-106075,18/09/2017,Consumer,New York,New York City,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,4.616
71,CA-2018-114440,14/09/2018,Consumer,Michigan,Jackson,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,19.05
72,US-2016-134026,26/04/2016,Consumer,Tennessee,Memphis,High-Back Leather Manager's Chair,Furniture,Chairs,831.936
73,US-2016-134026,26/04/2016,Consumer,Tennessee,Memphis,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,97.04
74,US-2016-134026,26/04/2016,Consumer,Tennessee,Memphis,Safco Industrial Wire Shelving System,Office Supplies,Storage,72.784
75,US-2018-118038,09/12/2018,Corporate,Texas,Houston,Economy Binders,Office Supplies,Binders,1.248
76,US-2018-118038,09/12/2018,Corporate,Texas,Houston,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,9.708
77,US-2018-118038,09/12/2018,Corporate,Texas,Houston,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,27.24
78,US-2015-147606,26/11/2015,Consumer,Texas,Houston,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,19.3
79,CA-2017-127208,12/06/2017,Corporate,Alabama,Decatur,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances,208.16
80,CA-2017-127208,12/06/2017,Corporate,Alabama,Decatur,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders,16.74
81,CA-2015-139451,12/10/2015,Consumer,California,San Francisco,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art,14.9
82,CA-2015-139451,12/10/2015,Consumer,California,San Francisco,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,21.39
83,CA-2016-149734,03/09/2016,Corporate,North Carolina,Durham,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,200.984
84,US-2018-119662,13/11/2018,Home Office,Illinois,Chicago,Safco Industrial Wire Shelving,Office Supplies,Storage,230.376
85,CA-2018-140088,28/05/2018,Consumer,South Carolina,Columbia,Novimex Swivel Fabric Task Chair,Furniture,Chairs,301.96
86,CA-2018-155558,26/10/2018,Consumer,Minnesota,Rochester,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories,19.99
87,CA-2018-155558,26/10/2018,Consumer,Minnesota,Rochester,Avery 511,Office Supplies,Labels,6.16
88,CA-2017-159695,05/04/2017,Home Office,Texas,Houston,Eldon Portable Mobile Manager,Office Supplies,Storage,158.368
89,CA-2017-109806,17/09/2017,Corporate,California,Los Angeles,Turquoise Lead Holder with Pocket Clip,Office Supplies,Art,20.1
90,CA-2017-109806,17/09/2017,Corporate,California,Los Angeles,Panasonic Kx-TS550,Technology,Phones,73.584
91,CA-2017-109806,17/09/2017,Corporate,California,Los Angeles,Xerox 1995,Office Supplies,Paper,6.48
92,CA-2016-149587,31/01/2016,Consumer,Minnesota,Minneapolis,Xerox 1999,Office Supplies,Paper,12.96
93,CA-2016-149587,31/01/2016,Consumer,Minnesota,Minneapolis,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings,53.34
94,CA-2016-149587,31/01/2016,Consumer,Minnesota,Minneapolis,Ibico Standard Transparent Covers,Office Supplies,Binders,32.96
95,US-2018-109484,06/11/2018,Home Office,Oregon,Portland,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders,5.682
96,CA-2018-161018,09/11/2018,Home Office,New York,New York City,9-3/4 Diameter Round Wall Clock,Furniture,Furnishings,96.53
97,CA-2018-157833,17/06/2018,Consumer,California,San Francisco,Trimflex Flexible Post Binders,Office Supplies,Binders,51.312
98,CA-2017-149223,06/09/2017,Corporate,Minnesota,Saint Paul,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances,77.88
99,CA-2017-158568,29/08/2017,Home Office,Illinois,Chicago,Avery Personal Creations Heavyweight Cards,Office Supplies,Paper,64.624
100,CA-2017-158568,29/08/2017,Home Office,Illinois,Chicago,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,95.976
101,CA-2017-158568,29/08/2017,Home Office,Illinois,Chicago,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders,1.788
102,CA-2017-129903,01/12/2017,Consumer,Minnesota,Rochester,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper,23.92
103,US-2016-156867,13/11/2016,Consumer,Colorado,Aurora,Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories,238.896
104,US-2016-156867,13/11/2016,Consumer,Colorado,Aurora,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,102.36
105,US-2016-156867,13/11/2016,Consumer,Colorado,Aurora,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,36.882
106,CA-2018-119004,23/11/2018,Consumer,North Carolina,Charlotte,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories,74.112
107,CA-2018-119004,23/11/2018,Consumer,North Carolina,Charlotte,Speck Products Candyshell Flip Case,Technology,Phones,27.992
108,CA-2018-119004,23/11/2018,Consumer,North Carolina,Charlotte,Newell Chalk Holder,Office Supplies,Art,3.304
109,CA-2016-129476,15/10/2016,Home Office,Illinois,Orland Park,Logitech Gaming G510s - Keyboard,Technology,Accessories,339.96
110,CA-2018-146780,25/12/2018,Corporate,New York,New York City,Magnifier Swing Arm Lamp,Furniture,Furnishings,41.96
111,CA-2017-128867,03/11/2017,Consumer,Iowa,Urbandale,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art,75.96
112,CA-2017-128867,03/11/2017,Consumer,Iowa,Urbandale,"Avery Durable Plastic 1"" Binders",Office Supplies,Binders,27.24
113,CA-2015-115259,25/08/2015,Consumer,Ohio,Columbus,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners,40.096
114,CA-2015-115259,25/08/2015,Consumer,Ohio,Columbus,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes,4.72
115,CA-2015-115259,25/08/2015,Consumer,Ohio,Columbus,Xerox 1921,Office Supplies,Paper,23.976
116,CA-2015-115259,25/08/2015,Consumer,Ohio,Columbus,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,130.464
117,CA-2016-110457,02/03/2016,Consumer,Washington,Seattle,Hon Racetrack Conference Tables,Furniture,Tables,787.53
118,US-2016-136476,05/04/2016,Corporate,Tennessee,Bristol,GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders,157.794
119,CA-2017-103730,12/06/2017,Consumer,Delaware,Wilmington,Artistic Insta-Plaque,Furniture,Furnishings,47.04
120,CA-2017-103730,12/06/2017,Consumer,Delaware,Wilmington,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,30.84
121,CA-2017-103730,12/06/2017,Consumer,Delaware,Wilmington,"Companion Letter/Legal File, Black",Office Supplies,Storage,226.56
122,CA-2017-103730,12/06/2017,Consumer,Delaware,Wilmington,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes,115.02
123,CA-2017-103730,12/06/2017,Consumer,Delaware,Wilmington,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones,68.04
124,US-2015-152030,26/12/2015,Home Office,Texas,Houston,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,600.558
125,US-2015-134614,20/09/2015,Consumer,Illinois,Bloomington,Bevis 44 x 96 Conference Tables,Furniture,Tables,617.7
126,US-2018-107272,05/11/2018,Consumer,Arizona,Phoenix,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders,2.388
127,US-2018-107272,05/11/2018,Consumer,Arizona,Phoenix,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage,243.992
128,US-2017-125969,06/11/2017,Home Office,California,Los Angeles,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,81.424
129,US-2017-125969,06/11/2017,Home Office,California,Los Angeles,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings,238.56
130,US-2018-164147,02/02/2018,Corporate,Ohio,Columbus,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones,59.97
131,US-2018-164147,02/02/2018,Corporate,Ohio,Columbus,Xerox 1916,Office Supplies,Paper,78.304
132,US-2018-164147,02/02/2018,Corporate,Ohio,Columbus,Staples,Office Supplies,Fasteners,21.456
133,CA-2017-145583,13/10/2017,Consumer,California,Roseville,Xerox 195,Office Supplies,Paper,20.04
134,CA-2017-145583,13/10/2017,Consumer,California,Roseville,Xerox 1880,Office Supplies,Paper,35.44
135,CA-2017-145583,13/10/2017,Consumer,California,Roseville,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art,11.52
136,CA-2017-145583,13/10/2017,Consumer,California,Roseville,Ideal Clamps,Office Supplies,Fasteners,4.02
137,CA-2017-145583,13/10/2017,Consumer,California,Roseville,GBC Wire Binding Strips,Office Supplies,Binders,76.176
138,CA-2017-145583,13/10/2017,Consumer,California,Roseville,Fiskars Softgrip Scissors,Office Supplies,Supplies,65.88
139,CA-2017-145583,13/10/2017,Consumer,California,Roseville,Longer-Life Soft White Bulbs,Furniture,Furnishings,43.12
140,CA-2017-110366,05/09/2017,Corporate,Pennsylvania,Philadelphia,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,82.8
141,CA-2018-106180,18/09/2018,Corporate,California,San Francisco,Newell 343,Office Supplies,Art,8.82
142,CA-2018-106180,18/09/2018,Corporate,California,San Francisco,Convenience Packs of Business Envelopes,Office Supplies,Envelopes,10.86
143,CA-2018-106180,18/09/2018,Corporate,California,San Francisco,Xerox 1911,Office Supplies,Paper,143.7
144,CA-2018-155376,22/12/2018,Consumer,Missouri,Independence,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,839.43
145,CA-2016-110744,07/09/2016,Consumer,California,Pasadena,Safco Industrial Wire Shelving,Office Supplies,Storage,671.93
146,CA-2015-110072,22/10/2015,Home Office,Ohio,Newark,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,Furnishings,93.888
147,CA-2017-114489,05/12/2017,Corporate,Wisconsin,Franklin,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,384.45
148,CA-2017-114489,05/12/2017,Corporate,Wisconsin,Franklin,Anker Astro 15000mAh USB Portable Charger,Technology,Phones,149.97
149,CA-2017-114489,05/12/2017,Corporate,Wisconsin,Franklin,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,1951.84
150,CA-2017-114489,05/12/2017,Corporate,Wisconsin,Franklin,GBC Prestige Therm-A-Bind Covers,Office Supplies,Binders,171.55
151,CA-2017-158834,13/03/2017,Home Office,Arizona,Scottsdale,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,Appliances,157.92
152,CA-2017-158834,13/03/2017,Home Office,Arizona,Scottsdale,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,Phones,203.184
153,CA-2016-124919,31/05/2016,Corporate,California,San Jose,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,58.38
154,CA-2016-124919,31/05/2016,Corporate,California,San Jose,Xerox 1883,Office Supplies,Paper,105.52
155,CA-2016-124919,31/05/2016,Corporate,California,San Jose,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,80.88
156,CA-2016-118948,28/05/2016,Home Office,Washington,Seattle,Newell 311,Office Supplies,Art,6.63
157,CA-2015-104269,01/03/2015,Consumer,Washington,Seattle,Global Deluxe High-Back Manager's Chair,Furniture,Chairs,457.568
158,CA-2017-114104,20/11/2017,Consumer,Oklahoma,Edmond,Avery 519,Office Supplies,Labels,14.62
159,CA-2017-114104,20/11/2017,Consumer,Oklahoma,Edmond,Avaya 5420 Digital phone,Technology,Phones,944.93
160,CA-2017-162733,11/05/2017,Consumer,California,Los Angeles,Xerox 1920,Office Supplies,Paper,5.98
161,CA-2016-119697,28/12/2016,Consumer,Pennsylvania,Philadelphia,Lenovo 17-Key USB Numeric Keypad,Technology,Accessories,54.384
162,CA-2017-154508,16/11/2017,Consumer,New Mexico,Carlsbad,Staple envelope,Office Supplies,Envelopes,28.4
163,CA-2017-113817,07/11/2017,Consumer,Washington,Seattle,Wilson Jones International Size A4 Ring Binders,Office Supplies,Binders,27.68
164,CA-2015-139892,08/09/2015,Consumer,Texas,San Antonio,BIC Brite Liner Highlighters,Office Supplies,Art,9.936
165,CA-2015-139892,08/09/2015,Consumer,Texas,San Antonio,Lexmark MX611dhe Monochrome Laser Printer,Technology,Machines,8159.952
166,CA-2015-139892,08/09/2015,Consumer,Texas,San Antonio,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Storage,275.928
167,CA-2015-139892,08/09/2015,Consumer,Texas,San Antonio,SAFCO Arco Folding Chair,Furniture,Chairs,1740.06
168,CA-2015-139892,08/09/2015,Consumer,Texas,San Antonio,Sanford Liquid Accent Highlighters,Office Supplies,Art,32.064
169,CA-2015-139892,08/09/2015,Consumer,Texas,San Antonio,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,177.98
170,CA-2015-139892,08/09/2015,Consumer,Texas,San Antonio,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,143.976
171,CA-2015-118962,05/08/2015,Consumer,California,Los Angeles,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,Paper,20.94
172,CA-2015-118962,05/08/2015,Consumer,California,Los Angeles,Xerox 1913,Office Supplies,Paper,110.96
173,CA-2015-118962,05/08/2015,Consumer,California,Los Angeles,"Global Value Steno Chair, Gray",Furniture,Chairs,340.144
174,US-2015-100853,14/09/2015,Corporate,Illinois,Chicago,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,52.448
175,US-2015-100853,14/09/2015,Corporate,Illinois,Chicago,Avery 51,Office Supplies,Labels,20.16
176,US-2018-152366,21/04/2018,Consumer,Texas,Houston,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Appliances,97.264
177,US-2016-101511,21/11/2016,Consumer,Ohio,Newark,"Padded Folding Chairs, Black, 4/Carton",Furniture,Chairs,396.802
178,US-2016-101511,21/11/2016,Consumer,Ohio,Newark,Acme Rosewood Handle Letter Opener,Office Supplies,Supplies,15.88
179,CA-2016-137225,15/12/2016,Home Office,New York,New York City,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,Art,3.28
180,CA-2015-166191,05/12/2015,Corporate,Illinois,Decatur,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage,24.816
181,CA-2015-166191,05/12/2015,Corporate,Illinois,Decatur,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Accessories,408.744
182,CA-2015-158274,19/11/2015,Home Office,Louisiana,Monroe,AT&T TR1909W,Technology,Phones,503.96
183,CA-2015-158274,19/11/2015,Home Office,Louisiana,Monroe,Nokia Lumia 521 (T-Mobile),Technology,Phones,149.95
184,CA-2015-158274,19/11/2015,Home Office,Louisiana,Monroe,HP Standard 104 key PS/2 Keyboard,Technology,Accessories,29.0
185,CA-2017-105018,28/11/2017,Consumer,Connecticut,Fairfield,Avery Poly Binder Pockets,Office Supplies,Binders,7.16
186,CA-2015-123260,26/08/2015,Home Office,California,Los Angeles,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,176.8
187,CA-2017-157000,16/07/2017,Corporate,Texas,Grand Prairie,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,37.224
188,CA-2017-157000,16/07/2017,Corporate,Texas,Grand Prairie,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,20.016
189,CA-2016-102281,12/10/2016,Home Office,New York,New York City,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,Bookcases,899.136
190,CA-2016-102281,12/10/2016,Home Office,New York,New York City,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,71.76
191,CA-2016-102281,12/10/2016,Home Office,New York,New York City,Xerox 205,Office Supplies,Paper,51.84
192,CA-2016-102281,12/10/2016,Home Office,New York,New York City,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,626.352
193,CA-2016-102281,12/10/2016,Home Office,New York,New York City,4009 Highlighters by Sanford,Office Supplies,Art,19.9
194,CA-2016-131457,31/10/2016,Corporate,California,Redlands,Poly String Tie Envelopes,Office Supplies,Envelopes,14.28
195,CA-2015-140004,21/03/2015,Consumer,Ohio,Hamilton,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Art,7.408
196,CA-2015-140004,21/03/2015,Consumer,Ohio,Hamilton,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,Art,6.048
197,CA-2018-107720,06/11/2018,Home Office,New Jersey,Westfield,Decoflex Hanging Personal Folder File,Office Supplies,Storage,46.26
198,US-2018-124303,06/07/2018,Corporate,Pennsylvania,Philadelphia,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders,2.946
