,antecedents,consequents,conviction
15,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Newell Chalk Holder,2.959459459459459
16,Kensington Expert Mouse Optical USB Trackball for PC or Mac,Tops Wirebound Message Log Books,2.959459459459459
39,Kensington Expert Mouse Optical USB Trackball for PC or Mac,AT&T 1080 Phone,2.959459459459459
17,"Sortfiler Multipurpose Personal File Organizer, Black",Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,2.959459459459459
20,"Sortfiler Multipurpose Personal File Organizer, Black","Tenex File Box, Personal Filing Tote with Lid, Black",2.959459459459459
18,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,"Sortfiler Multipurpose Personal File Organizer, Black",inf
19,Sharp 1540cs Digital Laser Copier,Staple-based wall hangings,inf
49,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,2.939189189189189
50,Xerox 1916,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,2.939189189189189
53,Avery 478,Staple-based wall hangings,2.939189189189189
85,Xerox 1881,Logitech G600 MMO Gaming Mouse,1.3810810810810812
86,Xerox 1881,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",1.3810810810810812
87,Xerox 1881,Strathmore Photo Mount Cards,1.3810810810810812
106,Xerox 1881,4009 Highlighters by Sanford,1.3716216216216215
123,Xerox 1881,"Global Stack Chair without Arms, Black",1.3621621621621622
139,Xerox 1881,Easy-staple paper,1.2864864864864864
89,Flat Face Poster Frame,Advantus Plastic Paper Clips,1.632882882882883
90,Flat Face Poster Frame,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1.632882882882883
91,Logitech G19 Programmable Gaming Keyboard,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,1.632882882882883
121,Logitech G19 Programmable Gaming Keyboard,Westinghouse Clip-On Gooseneck Lamps,1.6103603603603605
92,Advantus Plastic Paper Clips,Flat Face Poster Frame,2.8986486486486482
94,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Logitech G19 Programmable Gaming Keyboard,2.8986486486486482
95,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Flat Face Poster Frame,2.8986486486486482
99,Newell 347,KI Adjustable-Height Table,2.878378378378378
100,OtterBox Defender Series Case - Samsung Galaxy S4,KI Adjustable-Height Table,2.878378378378378
102,Xerox 1898,KI Adjustable-Height Table,2.878378378378378
104,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Xerox 226,2.858108108108108
132,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Easy-staple paper,2.756756756756756
107,Staples,Quality Park Security Envelopes,1.3716216216216215
111,Staples,Xerox 1992,1.3716216216216215
112,Staples,GBC DocuBind P100 Manual Binding Machine,1.3716216216216215
113,Staples,GBC VeloBind Cover Sets,1.3716216216216215
129,Staples,Ibico Plastic Spiral Binding Combs,1.3527027027027028
108,Xerox 226,Eldon Cleatmat Chair Mats for Medium Pile Carpets,1.3716216216216215
109,Quality Park Security Envelopes,Staples,2.858108108108108
110,GBC DocuBind P100 Manual Binding Machine,Staples,2.858108108108108
115,GBC VeloBind Cover Sets,Staples,2.858108108108108
116,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Easy-staple paper,inf
117,Easy-staple paper,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",1.1837837837837837
119,Easy-staple paper,Eldon Gobal File Keepers,1.1837837837837837
130,Easy-staple paper,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",1.1756756756756757
131,Easy-staple paper,Eldon Cleatmat Chair Mats for Medium Pile Carpets,1.1756756756756757
135,Easy-staple paper,"Acme 10"" Easy Grip Assistive Scissors",1.1675675675675676
137,Easy-staple paper,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",1.1675675675675676
138,Easy-staple paper,Xerox 1881,1.1432432432432433
118,Eldon Gobal File Keepers,Easy-staple paper,inf
125,Toshiba IPT2010-SD IP Telephone,KI Adjustable-Height Table,1.5990990990990992
133,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Easy-staple paper,2.756756756756756
88,Zipper Ring Binder Pockets,Ibico Standard Transparent Covers,1.632882882882883
82,"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",Xerox 1881,inf
54,Ibico Standard Transparent Covers,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",2.939189189189189
93,Ibico Standard Transparent Covers,Zipper Ring Binder Pockets,2.8986486486486482
81,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,1.9594594594594594
55,Xerox 1992,Wilson Jones Leather-Like Binders with DublLock Round Rings,2.939189189189189
114,Xerox 1992,Staples,2.858108108108108
57,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Ibico Standard Transparent Covers,2.939189189189189
58,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",Brown Kraft Recycled Envelopes,2.939189189189189
59,Brown Kraft Recycled Envelopes,"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",2.939189189189189
60,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",2.939189189189189
61,Jawbone MINI JAMBOX Wireless Bluetooth Speaker,Xerox 1916,2.939189189189189
62,Westinghouse Clip-On Gooseneck Lamps,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",1.6441441441441442
63,Westinghouse Clip-On Gooseneck Lamps,Jabra SPEAK 410,1.6441441441441442
120,Westinghouse Clip-On Gooseneck Lamps,Logitech G19 Programmable Gaming Keyboard,1.6103603603603605
124,Westinghouse Clip-On Gooseneck Lamps,KI Adjustable-Height Table,1.5990990990990992
64,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,SANFORD Major Accent Highlighters,1.6441441441441442
65,Ibico Plastic Spiral Binding Combs,Adjustable Depth Letter/Legal Cart,1.6441441441441442
128,Ibico Plastic Spiral Binding Combs,Staples,1.587837837837838
66,Jabra SPEAK 410,Westinghouse Clip-On Gooseneck Lamps,inf
67,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",Westinghouse Clip-On Gooseneck Lamps,inf
75,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",KI Adjustable-Height Table,inf
68,Adjustable Depth Letter/Legal Cart,Ibico Plastic Spiral Binding Combs,inf
69,SANFORD Major Accent Highlighters,NETGEAR N750 Dual Band Wi-Fi Gigabit Router,inf
70,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1.9594594594594594
79,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer","#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",1.9594594594594594
71,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,"Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2.918918918918919
72,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Microsoft Sculpt Comfort Mouse,2.918918918918919
73,Microsoft Sculpt Comfort Mouse,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,1.9594594594594594
74,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes","Riverside Furniture Oval Coffee Table, Oval End Table, End Table with Drawer",2.918918918918919
76,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,2.918918918918919
80,KI Adjustable-Height Table,"Message Book, Phone, Wirebound Standard Line Memo, 2 3/4"" X 5""",1.4797297297297296
98,KI Adjustable-Height Table,Xerox 1898,1.4695945945945945
101,KI Adjustable-Height Table,Newell 347,1.4695945945945945
103,KI Adjustable-Height Table,OtterBox Defender Series Case - Samsung Galaxy S4,1.4695945945945945
126,KI Adjustable-Height Table,Westinghouse Clip-On Gooseneck Lamps,1.4493243243243241
127,KI Adjustable-Height Table,Toshiba IPT2010-SD IP Telephone,1.4493243243243241
0,"Crayola Anti Dust Chalk, 12/Pack",RCA Visys Integrated PBX 8-Line Router,inf
