,Product Name,Sub-Category,Frequency
113,Pyle PMP37LED,Phones,0.0008126777732629012
169,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones,0.0008126777732629012
9,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Phones,0.000609508329947176
20,Logitech Mobile Speakerphone P710e - speaker phone,Phones,0.000609508329947176
28,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",Phones,0.000609508329947176
90,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Phones,0.000609508329947176
123,AT&T 1080 Corded phone,Phones,0.000609508329947176
144,PayAnywhere Card Reader,Phones,0.000609508329947176
147,OtterBox Commuter Series Case - iPhone 5 & 5s,Phones,0.000609508329947176
173,Plantronics MX500i Earset,Phones,0.000609508329947176
192,Griffin GC17055 Auxiliary Audio Cable,Phones,0.000609508329947176
195,Mitel MiVoice 5330e IP Phone,Phones,0.000609508329947176
199,Wireless Extenders zBoost YX545 SOHO Signal Booster,Phones,0.000609508329947176
59,Cisco SPA508G,Phones,0.0004063388866314506
85,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Phones,0.0004063388866314506
168,Jensen SMPS-640 - speaker phone,Phones,0.0004063388866314506
178,iOttie HLCRIO102 Car Mount,Phones,0.0004063388866314506
201,Seidio BD2-HK3IPH5-BK DILEX Case and Holster Combo for Apple iPhone 5/5s - Black,Phones,0.0004063388866314506
203,Cisco IP Phone 7961G-GE VoIP phone,Phones,0.0004063388866314506
44,Easy-staple paper,Paper,0.0022348638764729785
10,Xerox 1916,Paper,0.0010158472165786266
56,Xerox 188,Paper,0.0010158472165786266
78,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Paper,0.0010158472165786266
154,Xerox 1881,Paper,0.0010158472165786266
162,Xerox 1997,Paper,0.0010158472165786266
174,Xerox 1909,Paper,0.0010158472165786266
37,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",Paper,0.0008126777732629012
82,Xerox 1940,Paper,0.0008126777732629012
88,Xerox 1962,Paper,0.0008126777732629012
111,Xerox 227,Paper,0.0008126777732629012
181,Xerox 1906,Paper,0.0008126777732629012
13,Xerox 1911,Paper,0.000609508329947176
14,Xerox 1883,Paper,0.000609508329947176
41,Xerox 1972,Paper,0.000609508329947176
45,Xerox 220,Paper,0.000609508329947176
117,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Paper,0.000609508329947176
118,"Wirebound Message Book, 4 per Page",Paper,0.000609508329947176
121,Xerox 1959,Paper,0.000609508329947176
125,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,0.000609508329947176
150,Xerox 1919,Paper,0.000609508329947176
160,Xerox 1981,Paper,0.000609508329947176
182,Xerox 1930,Paper,0.000609508329947176
196,Riverleaf Stik-Withit Designer Note Cubes,Paper,0.000609508329947176
6,Xerox 1995,Paper,0.0004063388866314506
25,Xerox 1939,Paper,0.0004063388866314506
30,Xerox 1960,Paper,0.0004063388866314506
141,Xerox 1895,Paper,0.0004063388866314506
191,Xerox 194,Paper,0.0004063388866314506
18,Avery 505,Labels,0.0008126777732629012
99,Avery 518,Labels,0.0008126777732629012
161,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Labels,0.0008126777732629012
64,Self-Adhesive Removable Labels,Labels,0.0004063388866314506
76,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Labels,0.0004063388866314506
177,Avery 495,Labels,0.0004063388866314506
31,3M Hangers With Command Adhesive,Furnishings,0.0010158472165786266
101,Staple-based wall hangings,Furnishings,0.0010158472165786266
26,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,Furnishings,0.0008126777732629012
126,"Master Caster Door Stop, Brown",Furnishings,0.0008126777732629012
140,Eldon Wave Desk Accessories,Furnishings,0.0008126777732629012
81,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furnishings,0.000609508329947176
84,Howard Miller Distant Time Traveler Alarm Clock,Furnishings,0.000609508329947176
145,Acrylic Self-Standing Desk Frames,Furnishings,0.000609508329947176
148,"Eldon Regeneration Recycled Desk Accessories, Black",Furnishings,0.000609508329947176
159,Stacking Trays by OIC,Furnishings,0.000609508329947176
184,Dana Swing-Arm Lamps,Furnishings,0.000609508329947176
34,"Westinghouse Mesh Shade Clip-On Gooseneck Lamp, Black",Furnishings,0.0004063388866314506
166,3M Polarizing Light Filter Sleeves,Furnishings,0.0004063388866314506
207,"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",Furnishings,0.0004063388866314506
11,Staples,Fasteners,0.0036570499796830555
152,Binder Clips by OIC,Fasteners,0.000609508329947176
193,Advantus Plastic Paper Clips,Fasteners,0.0004063388866314506
47,Staple envelope,Envelopes,0.003250711093051605
12,Convenience Packs of Business Envelopes,Envelopes,0.000609508329947176
55,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Envelopes,0.000609508329947176
75,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Envelopes,0.0004063388866314506
124,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Envelopes,0.0004063388866314506
149,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Copiers,0.000609508329947176
62,"Global High-Back Leather Tilter, Burgundy",Chairs,0.0016253555465258025
100,"Global Wood Trimmed Manager's Task Chair, Khaki",Chairs,0.001219016659894352
35,Global Deluxe Steno Chair,Chairs,0.0008126777732629012
52,Global Commerce Series High-Back Swivel/Tilt Chairs,Chairs,0.0008126777732629012
65,Hon GuestStacker Chair,Chairs,0.0008126777732629012
79,Global Ergonomic Managers Chair,Chairs,0.0008126777732629012
93,Hon Olson Stacker Stools,Chairs,0.0008126777732629012
136,"Situations Contoured Folding Chairs, 4/Set",Chairs,0.0008126777732629012
171,Hon 4070 Series Pagoda Round Back Stacking Chairs,Chairs,0.0008126777732629012
77,Global Executive Mid-Back Manager's Chair,Chairs,0.000609508329947176
96,Global Commerce Series Low-Back Swivel/Tilt Chairs,Chairs,0.000609508329947176
151,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Chairs,0.000609508329947176
175,Novimex Turbo Task Chair,Chairs,0.000609508329947176
156,Global Leather Executive Chair,Chairs,0.0004063388866314506
190,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,Chairs,0.0004063388866314506
128,Bestar Classic Bookcase,Bookcases,0.000609508329947176
133,O'Sullivan Living Dimensions 2-Shelf Bookcases,Bookcases,0.000609508329947176
163,O'Sullivan 5-Shelf Heavy-Duty Bookcases,Bookcases,0.000609508329947176
114,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,0.0004063388866314506
3,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,0.0014221861032100772
61,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Binders,0.0014221861032100772
16,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Binders,0.001219016659894352
80,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Binders,0.001219016659894352
83,GBC VeloBind Cover Sets,Binders,0.001219016659894352
102,Aluminum Screw Posts,Binders,0.001219016659894352
132,Recycled Pressboard Report Cover with Reinforced Top Hinge,Binders,0.001219016659894352
32,Wilson Jones Century Plastic Molded Ring Binders,Binders,0.0010158472165786266
57,Fellowes PB300 Plastic Comb Binding Machine,Binders,0.0010158472165786266
70,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Binders,0.0010158472165786266
179,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Binders,0.0010158472165786266
5,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders,0.0008126777732629012
8,GBC DocuBind 300 Electric Binding Machine,Binders,0.0008126777732629012
60,Avery Hole Reinforcements,Binders,0.0008126777732629012
69,"Performers Binder/Pad Holder, Black",Binders,0.0008126777732629012
86,Avery Reinforcements for Hole-Punch Pages,Binders,0.0008126777732629012
94,Pressboard Hanging Data Binders for Unburst Sheets,Binders,0.0008126777732629012
103,GBC Personal VeloBind Strips,Binders,0.0008126777732629012
105,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders,0.0008126777732629012
106,Acco 3-Hole Punch,Binders,0.0008126777732629012
116,GBC Twin Loop Wire Binding Elements,Binders,0.0008126777732629012
127,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Binders,0.0008126777732629012
206,Storex Dura Pro Binders,Binders,0.0008126777732629012
50,GBC Instant Report Kit,Binders,0.000609508329947176
66,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Binders,0.000609508329947176
68,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Binders,0.000609508329947176
95,GBC DocuBind TL200 Manual Binding Machine,Binders,0.000609508329947176
170,Wilson Jones International Size A4 Ring Binders,Binders,0.000609508329947176
200,Ibico EB-19 Dual Function Manual Binding System,Binders,0.000609508329947176
40,"Avery Durable Slant Ring Binders, No Labels",Binders,0.0004063388866314506
164,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Binders,0.0004063388866314506
165,Poly Designer Cover & Back,Binders,0.0004063388866314506
167,Storex DuraTech Recycled Plastic Frosted Binders,Binders,0.0004063388866314506
176,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Binders,0.0004063388866314506
188,Avery Arch Ring Binders,Binders,0.0004063388866314506
197,Deluxe Heavy-Duty Vinyl Round Ring Binder,Binders,0.0004063388866314506
198,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,0.0004063388866314506
205,Wilson Jones Custom Binder Spines & Labels,Binders,0.0004063388866314506
21,"Quartet Omega Colored Chalk, 12/Pack",Art,0.0008126777732629012
138,"OIC #2 Pencils, Medium Soft",Art,0.0008126777732629012
27,"Boston School Pro Electric Pencil Sharpener, 1670",Art,0.000609508329947176
142,Newell 341,Art,0.000609508329947176
204,Newell 348,Art,0.000609508329947176
38,Prang Colored Pencils,Art,0.0004063388866314506
187,Newell 312,Art,0.0004063388866314506
0,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,0.0010158472165786266
7,Fellowes Basic Home/Office Series Surge Protectors,Appliances,0.0010158472165786266
42,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Appliances,0.0010158472165786266
109,Holmes HEPA Air Purifier,Appliances,0.0008126777732629012
131,Belkin 6 Outlet Metallic Surge Strip,Appliances,0.0008126777732629012
54,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Appliances,0.000609508329947176
92,Honeywell Quietcare HEPA Air Cleaner,Appliances,0.000609508329947176
107,Euro-Pro Shark Turbo Vacuum,Appliances,0.000609508329947176
112,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Appliances,0.000609508329947176
186,Hoover Upright Vacuum With Dirt Cup,Appliances,0.000609508329947176
15,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Appliances,0.0004063388866314506
129,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,0.0004063388866314506
130,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,Accessories,0.001219016659894352
17,Memorex Micro Travel Drive 8 GB,Accessories,0.0010158472165786266
19,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Accessories,0.0008126777732629012
87,Kingston Digital DataTraveler 16GB USB 2.0,Accessories,0.0008126777732629012
115,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,Accessories,0.0008126777732629012
119,Memorex Micro Travel Drive 32 GB,Accessories,0.0008126777732629012
143,KeyTronic E03601U1 - Keyboard - Beige,Accessories,0.0008126777732629012
158,Logitech G602 Wireless Gaming Mouse,Accessories,0.0008126777732629012
98,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Accessories,0.000609508329947176
120,Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Accessories,0.000609508329947176
122,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,0.000609508329947176
135,Plantronics Audio 478 Stereo USB Headset,Accessories,0.000609508329947176
137,Logitech G500s Laser Gaming Mouse with Adjustable Weight Tuning,Accessories,0.000609508329947176
155,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Accessories,0.000609508329947176
185,Imation 30456 USB Flash Drive 8GB,Accessories,0.000609508329947176
48,Plantronics S12 Corded Telephone Headset System,Accessories,0.0004063388866314506
